model_name,boolforest,bool_min,subset_selectors,delta,compatibility_evalutator,sample_attemps,compatibility,complexity,score,label0,label1,label2,label3,prediction0,prediction1,prediction2,prediction3
CNN_paper_work_AB_CD_350,{BD+CD'-A'B+AB'-A'C'+AB'-A'B+CD'-AB'+C'D-B'D'+A'C'-A'C'+CD'-AC+C'D-B'D'+A'B-AC+BD-B'D'+BD-B'D'+C'D-AC+A'B-AC+A'C'-BD+AB'-CD'+C'D},AC+BD,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.419562785979794,16,136.66283680828246,AB,AC,BD,CD,0,1,1,0
CNN_paper_work_AB_CD_350,{BD+CD'-A'B+AB'-A'C'+AB'-A'B+CD'-AB'+C'D-B'D'+A'C'-A'C'+CD'-AC+C'D-B'D'+A'B-AC+BD-B'D'+BD-B'D'+C'D-AC+A'B-AC+A'C'-BD+AB'-CD'+C'D},AC+BD,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.419562785979794,16,143.76065073818145,AB,AC,BD,CD,0,1,1,0
CNN_paper_work_AB_CD_350,{BD+CD'-A'B+AB'-A'C'+AB'-A'B+CD'-AB'+C'D-B'D'+A'C'-A'C'+CD'-AC+C'D-B'D'+A'B-AC+BD-B'D'+BD-B'D'+C'D-AC+A'B-AC+A'C'-BD+AB'-CD'+C'D},AC+BD,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.419562785979794,16,150.85846466808042,AB,AC,BD,CD,0,1,1,0
CNN_paper_work_AB_CD_350,{BD+CD'-A'B+AB'-A'C'+AB'-A'B+CD'-AB'+C'D-B'D'+A'C'-A'C'+CD'-AC+C'D-B'D'+A'B-AC+BD-B'D'+BD-B'D'+C'D-AC+A'B-AC+A'C'-BD+AB'-CD'+C'D},AC+BD,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.419562785979794,16,157.95627859797938,AB,AC,BD,CD,0,1,1,0
CNN_paper_work_AB_CD_350,{BD+CD'-A'B+AB'-A'C'+AB'-A'B+CD'-AB'+C'D-B'D'+A'C'-A'C'+CD'-AC+C'D-B'D'+A'B-AC+BD-B'D'+BD-B'D'+C'D-AC+A'B-AC+A'C'-BD+AB'-CD'+C'D},AC+BD,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.419562785979794,16,165.05409252787837,AB,AC,BD,CD,0,1,1,0
CNN_paper_work_AB_CD_350,{BD+CD'-A'B+AB'-A'C'+AB'-A'B+CD'-AB'+C'D-B'D'+A'C'-A'C'+CD'-AC+C'D-B'D'+A'B-AC+BD-B'D'+BD-B'D'+C'D-AC+A'B-AC+A'C'-BD+AB'-CD'+C'D},AC+BD,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.419562785979794,16,172.15190645777733,AB,AC,BD,CD,0,1,1,0
CNN_paper_work_AB_CD_350,{BD+CD'-A'B+AB'-A'C'+AB'-A'B+CD'-AB'+C'D-B'D'+A'C'-A'C'+CD'-AC+C'D-B'D'+A'B-AC+BD-B'D'+BD-B'D'+C'D-AC+A'B-AC+A'C'-BD+AB'-CD'+C'D},AC+BD,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.419562785979794,16,179.2497203876763,AB,AC,BD,CD,0,1,1,0
CNN_paper_work_AB_CD_350,{BD+CD'-A'B+AB'-A'C'+AB'-A'B+CD'-AB'+C'D-B'D'+A'C'-A'C'+CD'-AC+C'D-B'D'+A'B-AC+BD-B'D'+BD-B'D'+C'D-AC+A'B-AC+A'C'-BD+AB'-CD'+C'D},AC+BD,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.419562785979794,16,186.34753431757528,AB,AC,BD,CD,0,1,1,0
CNN_paper_work_AB_CD_350,{BD+CD'-A'B+AB'-A'C'+AB'-A'B+CD'-AB'+C'D-B'D'+A'C'-A'C'+CD'-AC+C'D-B'D'+A'B-AC+BD-B'D'+BD-B'D'+C'D-AC+A'B-AC+A'C'-BD+AB'-CD'+C'D},AC+BD,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.419562785979794,16,200.5431621773732,AB,AC,BD,CD,0,1,1,0
CNN_paper_work_AB_CD_350,{BD+CD'-A'B+AB'-A'C'+AB'-A'B+CD'-AB'+C'D-B'D'+A'C'-A'C'+CD'-AC+C'D-B'D'+A'B-AC+BD-B'D'+BD-B'D'+C'D-AC+A'B-AC+A'C'-BD+AB'-CD'+C'D},AC+BD,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.419562785979794,16,214.73879003717116,AB,AC,BD,CD,0,1,1,0
CNN_paper_work_AB_CD_350,{BD+CD'-A'B+AB'-A'C'+AB'-A'B+CD'-AB'+C'D-B'D'+A'C'-A'C'+CD'-AC+C'D-B'D'+A'B-AC+BD-B'D'+BD-B'D'+C'D-AC+A'B-AC+A'C'-BD+AB'-CD'+C'D},AC+BD,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.419562785979794,16,228.93441789696908,AB,AC,BD,CD,0,1,1,0
CNN_paper_work_AB_CD_350,{BD+CD'-A'B+AB'-A'C'+AB'-A'B+CD'-AB'+C'D-B'D'+A'C'-A'C'+CD'-AC+C'D-B'D'+A'B-AC+BD-B'D'+BD-B'D'+C'D-AC+A'B-AC+A'C'-BD+AB'-CD'+C'D},AC+BD,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.419562785979794,16,299.91255719595875,AB,AC,BD,CD,0,1,1,0
