model_name,boolforest,bool_min,subset_selectors,delta,compatibility_evalutator,sample_attemps,compatibility,complexity,score,label0,label1,label2,label3,label4,label5,label6,label7,label8,label9,label10,label11,label12,prediction0,prediction1,prediction2,prediction3,prediction4,prediction5,prediction6,prediction7,prediction8,prediction9,prediction10,prediction11,prediction12
CNN_paper_work_AB_CD_350,{BCD+ABD+AC},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,46.1,135.71325003142297,,A,AB,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,1,1,0,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+ABD+AC},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,46.1,140.98461768033022,,A,AB,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,1,1,0,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+ABD+AC},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,46.1,146.25598532923743,,A,AB,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,1,1,0,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+ABD+AC},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,46.1,151.52735297814468,,A,AB,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,1,1,0,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+ABD+AC},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,46.1,156.79872062705192,,A,AB,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,1,1,0,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+ABD+AC},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,46.1,162.07008827595914,,A,AB,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,1,1,0,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+ABD+AC},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,46.1,167.34145592486638,,A,AB,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,1,1,0,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+ABD+AC},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,46.1,172.6128235737736,,A,AB,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,1,1,0,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+ABD+AC},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,46.1,183.15555887158806,,A,AB,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,1,1,0,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+ABD+AC},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,46.1,193.69829416940254,,A,AB,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,1,1,0,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+ABD+AC},BCD+ABD+AC,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.0542735297814467,46.1,204.241029467217,,A,AB,ABD,AC,AD,B,BC,BCD,BD,C,CD,D,0,0,0,1,1,0,0,0,1,0,0,0,0
CNN_paper_work_AB_CD_350,{BCD+ABD+ABC+ACD},BCD+ABD+ABC+ACD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.9622100377179544,62.1,254.54200754359087,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BCD,BD,CD,0,0,0,1,1,0,1,0,0,0,1,0,0
CNN_paper_work_AB_CD_350,{BCD+ABD+ABC+ACD},BCD+ABD+ABC+ACD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.9622100377179544,62.1,543.2050188589773,,A,AB,ABC,ABD,AC,ACD,AD,B,BC,BCD,BD,CD,0,0,0,1,1,0,1,0,0,0,1,0,0
