model_name,boolforest,bool_min,subset_selectors,delta,compatibility_evalutator,sample_attemps,compatibility,complexity,score,label0,label1,label2,label3,label4,label5,label6,prediction0,prediction1,prediction2,prediction3,prediction4,prediction5,prediction6
Trails_class_AB800,{ACD+AB-AC'D'+ACD},ACD+AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.5686332436429773,26.1,310.41662182148866,,AB,AC,ACD,AD,B,CD,0,1,0,1,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,12.1,12.100000228183386,,A,AB,AC,B,C,D,0,0,1,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,12.1,12.100002281833865,,A,AB,AC,B,C,D,0,0,1,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,12.1,12.100022818338642,,A,AB,AC,B,C,D,0,0,1,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,12.1,12.100045636677285,,A,AB,AC,B,C,D,0,0,1,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,12.1,12.10011409169321,,A,AB,AC,B,C,D,0,0,1,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,12.1,12.100228183386424,,A,AB,AC,B,C,D,0,0,1,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,12.1,12.100342275079635,,A,AB,AC,B,C,D,0,0,1,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,12.1,12.100456366772848,,A,AB,AC,B,C,D,0,0,1,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,12.1,12.100684550159272,,A,AB,AC,B,C,D,0,0,1,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,12.1,12.100912733545696,,A,AB,AC,B,C,D,0,0,1,0,0,0,0
Trails_class_nC9000,{AB},AB,TryAll,SquaredSum,Mean_Square_Error,1000000000,2.2818338642400122e-06,12.1,12.10114091693212,,A,AB,AC,B,C,D,0,0,1,0,0,0,0
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,12.1,12.1,,A,AB,AC,B,C,D,1,0,0,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,12.1,12.1,,A,AB,AC,B,C,D,1,0,0,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,12.1,12.1,,A,AB,AC,B,C,D,1,0,0,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,12.1,12.1,,A,AB,AC,B,C,D,1,0,0,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,12.1,12.1,,A,AB,AC,B,C,D,1,0,0,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,12.1,12.1,,A,AB,AC,B,C,D,1,0,0,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,12.1,12.1,,A,AB,AC,B,C,D,1,0,0,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,12.1,12.1,,A,AB,AC,B,C,D,1,0,0,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,12.1,12.1,,A,AB,AC,B,C,D,1,0,0,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,12.1,12.1,,A,AB,AC,B,C,D,1,0,0,0,1,1,1
Trails_class_nC9000,{A'},A',TryAll,SquaredSum,Mean_Square_Error,1000000000,0.0,12.1,12.1,,A,AB,AC,B,C,D,1,0,0,0,1,1,1
Trails_class_BCD9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.9639232905523056,12.1,12.29639232905523,,A,AB,AC,B,C,D,0,0,0,0,0,0,0
Trails_class_BCD9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.9639232905523056,12.1,14.063923290552305,,A,AB,AC,B,C,D,0,0,0,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.101962362162404,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.103924724324802,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.109811810812005,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.119623621624008,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.12943543243601,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.139247243248015,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.15887086487202,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.178494486496028,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.198118108120035,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
Trails_class_BCD9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.9639232905523056,12.1,12.29639232905523,,A,AB,AC,B,C,D,0,0,0,0,0,0,0
Trails_class_BCD9000,{F},F,TryAll,SquaredSum,Mean_Square_Error,1000000000,1.9639232905523056,12.1,14.063923290552305,,A,AB,AC,B,C,D,0,0,0,0,0,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.101962362162404,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.102158598378644,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.102354834594884,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.10255107081112,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.10274730702736,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.1029435432436,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.10313977945984,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.10333601567608,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.10353225189232,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.103728488108562,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.103924724324802,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.109811810812005,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.119623621624008,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.12943543243601,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.139247243248015,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.15887086487202,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.178494486496028,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
Trails_class_BCD9000,{BCD},BCD,TryAll,SquaredSum,Mean_Square_Error,1000000000,0.00019623621624006472,23.1,23.198118108120035,,A,B,BC,BCD,BD,CD,0,0,0,0,1,0,0
